"merge","filename.x","TYPE","BOX_AND_CODE","STATE","fullest_code","type_branch","rep","cluster","Region","zip_code","combined","otu_count"
"239-D12b","Vicky1-b4-239-D12B.mzXML","isolate","239-D12","TX","Vicky1-b4-239-D12B","branch_u","b","clu6_1","South",78734,"clu6_1-branch_u",735
"239-G9a","Vicky1-b3-239-G9A.mzXML","isolate","239-G9","WA","Vicky1-b3-239-G9A","branch_u","a","clu6_1","Northwest",99353,"clu6_1-branch_u",310
"239-G9b","Vicky1-b3-239-G9B.mzXML","isolate","239-G9","WA","Vicky1-b3-239-G9B","branch_u","b","clu6_1","Northwest",99353,"clu6_1-branch_u",657
"239-H3a","Vicky2-c12-239-H3A.mzXML","isolate","239-H3","WA","Vicky2-c12-239-H3A","branch_v","a","clu6_5","Northwest",99353,"clu6_5-branch_v",464
"239-H3b","Vicky2-c12-239-H3B.mzXML","isolate","239-H3","WA","Vicky2-c12-239-H3B","branch_v","b","clu6_5","Northwest",99353,"clu6_5-branch_v",283
"239-H7a","Vicky2-c6-239-H7A.mzXML","isolate","239-H7","WA","Vicky2-c6-239-H7A","branch_u","a","clu6_1","Northwest",99353,"clu6_1-branch_u",710
"239-H7b","Vicky2-c6-239-H7B.mzXML","isolate","239-H7","WA","Vicky2-c6-239-H7B","branch_u","b","clu6_1","Northwest",99353,"clu6_1-branch_u",768
"239-H8a","Vicky3-a8-239-H8A.mzXML","isolate","239-H8","WA","Vicky3-a8-239-H8A","branch_u","a","clu6_1","Northwest",99353,"clu6_1-branch_u",564
"239-H8b","Vicky3-a8-239-H8B.mzXML","isolate","239-H8","WA","Vicky3-a8-239-H8B","branch_u","b","clu6_1","Northwest",99353,"clu6_1-branch_u",655
"241-F8a","Vicky1-f10-241-F8A.mzXML","isolate","241-F8","MN","Vicky1-f10-241-F8A","branch_u","a","clu6_1","East North Central",55417,"clu6_1-branch_u",538
"241-F8b","Vicky1-f10-241-F8B.mzXML","isolate","241-F8","MN","Vicky1-f10-241-F8B","branch_u","b","clu6_1","East North Central",55417,"clu6_1-branch_u",302
"241-F9a","Vicky2-c11-241-F9A.mzXML","isolate","241-F9","MN","Vicky2-c11-241-F9A","branch_u","a","clu6_1","East North Central",55417,"clu6_1-branch_u",635
"241-F9b","Vicky2-c11-241-F9B.mzXML","isolate","241-F9","MN","Vicky2-c11-241-F9B","branch_u","b","clu6_1","East North Central",55417,"clu6_1-branch_u",568
"244-G12a","Vicky2-d2-244-G12A.mzXML","isolate","244-G12","MI","Vicky2-d2-244-G12A","branch_u","a","clu6_1","East North Central",49802,"clu6_1-branch_u",520
"244-G12b","Vicky2-d2-244-G12B.mzXML","isolate","244-G12","MI","Vicky2-d2-244-G12B","branch_u","b","clu6_1","East North Central",49802,"clu6_1-branch_u",359
"245-E10a","Vicky2-c8-245-E10A.mzXML","isolate","245-E10","PA","Vicky2-c8-245-E10A","branch_u","a","clu6_1","Northeast",18105,"clu6_1-branch_u",449
"245-E10b","Vicky2-c8-245-E10B.mzXML","isolate","245-E10","PA","Vicky2-c8-245-E10B","branch_u","b","clu6_1","Northeast",18105,"clu6_1-branch_u",353
"247-G9a","Vicky2-c9-247-G9A.mzXML","isolate","247-G9","UT","Vicky2-c9-247-G9A","branch_u","a","clu6_1","Southwest",84601,"clu6_1-branch_u",526
"247-G9b","Vicky2-c9-247-G9B.mzXML","isolate","247-G9","UT","Vicky2-c9-247-G9B","branch_u","b","clu6_1","Southwest",84601,"clu6_1-branch_u",394
